scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
1,4.200::BAT-5,4.2,BAT-5,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,True
2,4.200::BAT-10,4.2,BAT-10,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
3,4.200::BAT-15,4.2,BAT-15,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
4,4.200::BAT-20,4.2,BAT-20,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
5,4.200::BAT-21,4.2,BAT-21,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
6,4.200::BAT-22,4.2,BAT-22,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
7,4.200::BAT-23,4.2,BAT-23,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
8,4.200::BAT-24,4.2,BAT-24,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
9,4.200::BAT-25,4.2,BAT-25,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
10,4.200::BAT-26,4.2,BAT-26,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
11,4.200::BAT-27,4.2,BAT-27,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
12,4.200::BAT-28,4.2,BAT-28,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
13,4.200::BAT-29,4.2,BAT-29,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
14,4.200::BAT-30,4.2,BAT-30,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
15,4.200::BAT-31,4.2,BAT-31,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
16,4.200::BAT-32,4.2,BAT-32,141503447.30982086,4.583333333333333,27300000.0,0.27500637435102593,0.2750063743510257,17776.84370091285,0.0,0.4318399737984802,False
0,4.200::None,4.2,None,141410927.58618137,4.583333333333333,27300000.0,0.2743919001171107,0.27439190011711057,17791.91060912845,16.741009128446418,0.4318399737984802,False
18,4.800::BAT-5,4.8,BAT-5,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,True
19,4.800::BAT-10,4.8,BAT-10,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
20,4.800::BAT-15,4.8,BAT-15,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
21,4.800::BAT-20,4.8,BAT-20,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
22,4.800::BAT-21,4.8,BAT-21,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
23,4.800::BAT-22,4.8,BAT-22,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
24,4.800::BAT-23,4.8,BAT-23,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
25,4.800::BAT-24,4.8,BAT-24,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
26,4.800::BAT-25,4.8,BAT-25,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
27,4.800::BAT-26,4.8,BAT-26,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
28,4.800::BAT-27,4.8,BAT-27,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
29,4.800::BAT-28,4.8,BAT-28,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
30,4.800::BAT-29,4.8,BAT-29,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
31,4.800::BAT-30,4.8,BAT-30,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
32,4.800::BAT-31,4.8,BAT-31,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
33,4.800::BAT-32,4.8,BAT-32,161618178.82960483,4.583333333333333,31200000.0,0.31405858092772376,0.31405858092772354,16819.283595652218,0.0,0.49353139862683437,False
17,4.800::None,4.8,None,160745417.55303308,4.666666666666667,31200000.0,0.3112465596850681,0.311246559685068,16888.234356522134,76.61195652212947,0.49353139862683437,False
35,5.400::BAT-5,5.4,BAT-5,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,True
36,5.400::BAT-10,5.4,BAT-10,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
37,5.400::BAT-15,5.4,BAT-15,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
38,5.400::BAT-20,5.4,BAT-20,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
39,5.400::BAT-21,5.4,BAT-21,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
40,5.400::BAT-22,5.4,BAT-22,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
41,5.400::BAT-23,5.4,BAT-23,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
42,5.400::BAT-24,5.4,BAT-24,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
43,5.400::BAT-25,5.4,BAT-25,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
44,5.400::BAT-26,5.4,BAT-26,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
45,5.400::BAT-27,5.4,BAT-27,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
46,5.400::BAT-28,5.4,BAT-28,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
47,5.400::BAT-29,5.4,BAT-29,184918215.17090574,4.166666666666667,31860000.000000004,0.353096286075849,0.35309628607584886,15862.079065420185,0.0,0.5552228234551889,False
