Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,913.2476224522246,114.03786631906556,1988.9552749805755,2952.1025577979995,1579.9199569200816,409.03531806049386,0.0,454.48368673388234,1372.1826008779185,0.0,0.0,1816408.6760398212,156480.77600426375,156480.77600426375,1972889.452044085,-93975115.72969368,1972889.452044085
01-02,863.280527214066,120.97243529816933,2181.8228781345797,2363.4602548719186,1720.921899400696,460.9009787338836,0.0,512.1121985932042,642.5383554712225,0.0,0.0,1883525.2045237308,77729.42963383459,77729.42963383459,1961254.6341575654,-92029744.75009835,1961254.6341575654
01-03,849.9206102396595,135.82645299418442,2263.757751323861,2944.0161811014946,1798.2083830336633,465.549368290198,0.0,517.2770758779988,1145.8077980678315,0.0,0.0,1924014.3694399353,155631.00902463027,155631.00902463027,2079645.3784645656,-89975311.85375643,2079645.3784645656
01-04,971.7530867787995,130.03583451824574,2286.8497512714252,2933.695312354078,1816.5514358017601,470.29831546966506,0.0,522.5536838551837,1117.1438765523176,0.0,0.0,2222253.3047973374,145268.7362644287,145268.7362644287,2367522.041061766,-87645982.33069417,2367522.041061766
01-05,997.2443207566047,121.98881604633614,2116.5745248040266,2438.7074668722894,1678.4081579670642,438.1663668369623,0.0,486.8515187077355,760.2993089052251,0.0,0.0,2110741.924318925,92748.012534196,92748.012534196,2203489.936853121,-85486835.40187149,2203489.936853121
01-06,1023.3242063917933,119.03498090806366,1980.0473315552333,2821.5052888902874,1572.8439619141352,407.20336964109805,0.0,452.4481884901091,1248.661326976153,0.0,0.0,2026230.3641819472,148634.3772172438,148634.3772172438,2174864.741399191,-83364384.74208683,2174864.741399191
01-07,970.1258527809757,123.2223825677481,2179.139727338593,2537.318346697919,1729.6482655894554,449.4914617491375,0.0,499.43495749904037,807.6700811084636,0.0,0.0,2114039.7863132553,99523.03172287124,99523.03172287124,2213562.8180361264,-81212933.90351997,2213562.8180361264
01-08,999.8652395747358,139.98406160462292,2051.652285207297,2545.3550909177757,1629.7231168716733,421.92916833562396,0.0,468.81018703958154,915.6319740461022,0.0,0.0,2051375.8036728485,128173.88266203206,128173.88266203206,2179549.6863348805,-79103137.36953166,2179549.6863348805
01-09,1089.485077606105,137.44720205649017,2027.984054708611,2266.2365112808493,1603.839232218083,424.1448224905281,0.0,471.2720249894746,662.3972790627664,0.0,0.0,2209458.3652281547,91044.65265700936,91044.65265700936,2300503.017885164,-76885294.19788846,2300503.017885164
01-10,1014.4476268199103,147.29834714755444,1810.3985192073628,2473.6189092781756,1438.0839963845895,372.31452282277337,0.0,413.68280313641463,1035.5349128935864,0.0,0.0,1836554.481408189,152532.58108281202,152532.58108281202,1989087.062491001,-74975458.33870745,1989087.062491001
01-11,913.527057678423,160.84462519813806,1827.2157496197044,2714.2711499777497,1451.4427070015697,375.7730426181347,0.0,417.5256029090385,1262.82844297618,0.0,0.0,1669211.0274937628,203119.16760005194,203119.16760005194,1872330.1950938147,-73185021.86244793,1872330.1950938147
01-12,929.3933389057294,177.28961418892197,1932.519332484764,2913.042607706548,1535.090255137271,397.429077347493,0.0,441.5878637194364,1377.9523525692764,0.0,0.0,1796070.5949178862,244296.6409577244,244296.6409577244,2040367.2358756105,-71241814.97113782,2040367.2358756105
02-01,855.7502263353103,187.325921351728,1986.6167269398115,2641.3776802958514,1578.0623391212823,408.5543878185293,0.0,453.94931979836605,1063.3153411745689,0.0,0.0,1700047.7137202572,199186.52597295312,199186.52597295312,1899234.2396932102,-69440359.8084677,1899234.2396932102
02-02,872.1054127632336,174.07886858485142,1971.569291335493,2617.349332057056,1566.1094590787864,405.45983225670676,0.0,450.51092472967383,1051.2398729782697,0.0,0.0,1719416.250611456,182998.6476993401,182998.6476993401,1902414.8983107961,-67643209.55097531,1902414.8983107961
02-03,840.2099942111512,164.41005051358425,1985.9452180175047,2219.21990306973,1570.590262463083,415.3549555544215,0.0,461.50550617158035,648.6296406066467,0.0,0.0,1668611.020134151,106641.23197674679,106641.23197674679,1775252.2521108978,-65972990.44086069,1775252.2521108978
02-04,815.034482791615,193.83270668727116,2216.2972516634986,2558.9685847426836,1757.81545646551,458.48179519798873,0.0,509.42421688665326,801.1531282771739,0.0,0.0,1806358.6842220374,155289.67932493918,155289.67932493918,1961648.3635469766,-64134892.02169081,1961648.3635469766
02-05,758.6793838877875,189.8350203155781,2177.749391993526,2880.6634572518487,1729.8879310469902,447.8614609465357,0.0,497.6238454961513,1150.7755262048584,0.0,0.0,1652213.566979652,218457.49539576937,218457.49539576937,1870671.0623754214,-62389153.26185109,1870671.0623754214
02-06,799.5145148484808,172.23658999891762,2099.2052110020436,2595.679238531311,1667.4966241084278,431.70858689361586,0.0,479.6762076595746,928.1826144228828,0.0,0.0,1678345.0358417016,159867.0084044775,159867.0084044775,1838212.044246179,-60680666.33987517,1838212.044246179
02-07,807.1518251974593,185.3471541093032,2084.851222785206,2632.6411430362264,1656.094581674166,428.75664111104004,0.0,476.3962679011558,976.5465613620613,0.0,0.0,1682791.469736234,181000.1260036841,181000.1260036841,1863791.595739918,-58955433.86079485,1863791.595739918
02-08,719.7312002841455,183.61278770066224,1971.2888990317808,2739.5281219211147,1565.886730392036,405.4021686397449,0.0,450.44685404416083,1173.6413915290789,0.0,0.0,1418798.1254069554,215495.56765953856,215495.56765953856,1634293.6930664938,-57448776.12329075,1634293.6930664938
02-09,735.1173782855567,150.67866552989605,1890.6366519250032,2691.094839561753,1501.8208881997361,388.8157637252671,0.0,432.0175152502977,1189.2739513620168,0.0,0.0,1389839.858853691,179198.21194069518,179198.21194069518,1569038.0707943863,-56008146.94068099,1569038.0707943863
02-10,760.3431992553593,143.48367787772156,1932.3773490198414,2868.052249813957,1534.9774710477516,397.3998779720898,0.0,441.55541996899,1333.0747787662053,0.0,0.0,1469269.9757223362,191274.47214340515,191274.47214340515,1660544.4478657413,-54489686.58907563,1660544.4478657413
02-11,748.1945583338295,152.69207353444241,1843.61245231367,2304.690996793272,1464.4673728348093,379.14507947886057,0.0,421.27231053206776,840.2236239584626,0.0,0.0,1379380.8044975747,128295.48737484125,128295.48737484125,1507676.291872416,-53116608.35623103,1507676.291872416
02-12,770.2087645592384,133.8296049733466,1887.0564551107852,2389.4164385414556,1498.9769708589902,388.07948425179495,0.0,431.19942694643896,890.4394676824652,0.0,0.0,1453427.4209444139,119167.16221262133,119167.16221262133,1572594.5831570353,-51690218.71164415,1572594.5831570353
03-01,761.0156155488282,160.32644812125878,1879.2880278348464,2839.373689586401,1492.806146687362,386.4818811474845,0.0,429.4243123860932,1346.5675428990382,0.0,0.0,1430167.535296279,215890.39130837357,215890.39130837357,1646057.9266046525,-50203253.728368014,1646057.9266046525
03-02,718.8059630098901,168.52567952731548,2023.0410642003392,2705.921576999945,1606.9958893520977,416.04517484824146,0.0,462.2724164980461,1098.9256876478482,0.0,0.0,1454173.9803610777,185197.19826087606,185197.19826087606,1639371.1786219538,-48728338.20144031,1639371.1786219538
03-03,713.8852354544115,174.60522848858784,2089.477623496195,2823.166862956709,1659.7695475740763,429.7080759221187,0.0,477.45341769124354,1163.3973153826312,0.0,0.0,1491647.2252263054,203135.254075394,203135.254075394,1694782.4793016994,-47209756.91864151,1694782.4793016994
03-04,782.37803157656,199.4208469664067,2234.854401096417,2425.9209841822626,1763.058311805706,471.79608929071105,0.0,524.2178769896797,662.8626723765562,0.0,0.0,1748500.9871900266,132188.63554774862,132188.63554774862,1880689.622737775,-45531434.366405085,1880689.622737775
03-05,762.9922267824874,191.75541943774394,2248.641882418968,2744.2619723100297,1786.201143228202,462.44073919076607,0.0,513.8230435452957,958.0608290818275,0.0,0.0,1715696.2771032127,183713.35612745854,183713.35612745854,1899409.6332306713,-43843283.85938194,1899409.6332306713
03-06,646.7650057278788,190.64952928363064,1972.3417592774967,2791.9626184614754,1566.7230663996772,405.6186928778195,0.0,450.68743653091,1225.2395520617986,0.0,0.0,1275641.6292364448,233591.34386026836,233591.34386026836,1509232.9730967132,-42507355.90605639,1509232.9730967132
03-07,692.6927452509856,199.1658083770435,2000.199376207338,2877.6777863907537,1588.851671046215,411.347705161123,0.0,457.05300573458135,1288.826115344539,0.0,0.0,1385523.59695437,256690.09512003983,256690.09512003983,1642213.6920744097,-41059615.664817564,1642213.6920744097
03-08,719.3544578458964,207.43495438910023,1922.09498070758,2560.138325699951,1526.809706239112,395.28527446846795,0.0,439.20586052051965,1033.3286194608395,0.0,0.0,1382667.5927752198,214348.47504681113,214348.47504681113,1597016.067822031,-39657433.34056827,1597016.067822031
03-09,732.4742866249162,234.52740553891135,1992.9793058231696,2590.5338713535534,1583.1164323338078,409.8628734893619,0.0,455.40319276595784,1007.4174390197467,0.0,0.0,1459806.095291047,236266.9982679556,236266.9982679556,1696073.0935590025,-38174321.19270351,1696073.0935590025
03-10,642.7718471958905,248.1709930970397,1881.9334956868074,2550.2434391286106,1494.9075652095783,387.0259304772292,0.0,430.02881164136545,1055.3358739190326,0.0,0.0,1209653.8693224285,261903.7518814186,261903.7518814186,1471557.621203847,-36892755.3465638,1471557.621203847
03-11,602.6685791339534,293.966857180626,1878.2360487348749,2507.176126387101,1491.9705106148897,386.26553811998514,0.0,429.1839312444285,1015.2056157722112,0.0,0.0,1131953.8507692178,298436.80426067906,298436.80426067906,1430390.6550298969,-35652096.0280302,1430390.6550298969
03-12,623.1348522687109,291.4397040169736,2007.9515130033647,2540.4450714297454,1595.0095549297207,412.94195807364383,0.0,458.8243978596036,945.4355165000247,0.0,0.0,1251224.5694180862,275537.44709590176,275537.44709590176,1526762.016513988,-34333221.594155684,1526762.016513988
04-01,570.4884549772187,302.6656396047938,2030.585640320618,3082.48528117782,1612.9888981084396,417.5967422121785,0.0,463.9963802357541,1469.4963830693798,0.0,0.0,1158425.6646454358,444766.06267862493,444766.06267862493,1603191.7273240606,-32953943.65150894,1603191.7273240606
04-02,544.1495796378673,291.8507283620814,2038.9588526292396,2235.234569610199,1609.8647600904915,429.094092538748,0.0,476.7712139319432,625.3698095197069,0.0,0.0,1109498.602557109,182514.63440398255,182514.63440398255,1292013.2369610914,-31846892.938266862,1292013.2369610914
04-03,607.7433794036506,258.63526225367076,2068.406021647066,2619.1555242290633,1643.0313912643333,425.37463038273285,0.0,472.6384782030371,976.1241329647291,0.0,0.0,1257060.0655746483,252460.1211214697,252460.1211214697,1509520.186696118,-30558721.38850006,1509520.186696118
