Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,913.2476224522246,114.03786631906556,1988.9552749805755,2864.7541925535925,1579.9199569200816,409.03531806049386,0.0,454.48368673388256,1284.8342356335115,0.0,0.0,1816408.6760398212,146519.75480533316,146519.75480533316,1962928.4308451544,-91525036.33312622,1962928.4308451544
01-02,863.280527214066,120.97243529816933,2181.8228781345797,2284.334803137882,1716.0683571507961,465.75452098378366,0.0,517.5050233153153,568.2664459870856,0.0,0.0,1883525.2045237308,68744.57586929335,68744.57586929335,1952269.7803930242,-89588577.4414694,1952269.7803930242
01-03,849.9206102396595,135.82645299418442,2263.757751323861,2855.265071948175,1798.2083830336633,465.549368290198,0.0,517.2770758779985,1057.0566889145118,0.0,0.0,1924014.3694399353,143576.26066903517,143576.26066903517,2067590.6301089705,-87546053.14831306,2067590.6301089705
01-04,971.7530867787995,130.03583451824574,2286.8497512714252,2845.073543220508,1816.5514358017601,470.29831546966506,0.0,522.5536838551835,1028.5221074187475,0.0,0.0,2222253.3047973374,133744.73055866163,133744.73055866163,2355998.035355999,-85228061.72738831,2355998.035355999
01-05,997.2443207566047,121.98881604633614,2116.5745248040266,2358.206564858973,1673.4702458223096,443.1042789817169,0.0,492.33808775746314,684.7363190366622,0.0,0.0,2110741.924318925,83530.17286320872,83530.17286320872,2194272.0971821337,-83077947.13852921,2194272.0971821337
01-06,1023.3242063917933,119.03498090806366,1980.0473315552333,2737.5577638292525,1572.8439619141352,407.20336964109805,0.0,452.4481884901094,1164.7138019151173,0.0,0.0,2026230.3641819472,138641.68517432423,138641.68517432423,2164872.0493562715,-80965248.34763819,2164872.0493562715
01-07,970.1258527809757,123.2223825677481,2179.139727338593,2453.7577754071945,1724.5226738323488,454.6170535062441,0.0,505.13005945138127,729.2351015748457,0.0,0.0,2114039.7863132553,89858.08666808628,89858.08666808628,2203897.8729813416,-78823191.25835796,2203897.8729813416
01-08,999.8652395747358,139.98406160462292,2051.652285207297,2468.0688017393823,1629.7231168716733,421.92916833562396,0.0,468.8101870395814,838.3456848677093,0.0,0.0,2051375.8036728485,117355.03399649121,117355.03399649121,2168730.8376693395,-76723867.33233973,2168730.8376693395
01-09,1089.485077606105,137.44720205649017,2027.984054708611,2190.9100839125676,1599.2187215005597,428.76533320805123,0.0,476.40592578672266,591.6913624120077,0.0,0.0,2209458.3652281547,81326.32224452318,81326.32224452318,2290784.687472678,-74515393.29978374,2290784.687472678
01-10,1014.4476268199103,147.29834714755444,1810.3985192073628,2399.585532036776,1438.0839963845895,372.31452282277337,0.0,413.682803136414,961.5015356521869,0.0,0.0,1836554.481408189,141627.5869814025,141627.5869814025,1978182.0683895915,-72616027.94698314,1978182.0683895915
01-11,913.527057678423,160.84462519813806,1827.2157496197044,2633.9686691344996,1451.4427070015697,375.7730426181347,0.0,417.52560290903824,1182.5259621329299,0.0,0.0,1669211.0274937628,190202.9451663387,190202.9451663387,1859413.9726601015,-70837942.75141194,1859413.9726601015
01-12,929.3933389057294,177.28961418892197,1932.519332484764,2827.026441772548,1535.090255137271,397.429077347493,0.0,441.58786371943626,1291.9361866352763,0.0,0.0,1796070.5949178862,229046.86808527523,229046.86808527523,2025117.4630031614,-68909259.4533137,2025117.4630031614
02-01,855.7502263353103,187.325921351728,1986.6167269398115,2562.010321319077,1578.0623391212823,408.5543878185293,0.0,453.9493197983656,983.9479821977949,0.0,0.0,1700047.7137202572,184318.96232737557,184318.96232737557,1884366.6760476327,-67121906.42124225,1884366.6760476327
02-02,872.1054127632336,174.07886858485142,1971.569291335493,2538.686248549704,1566.1094590787864,405.45983225670676,0.0,450.5109247296739,972.5767894709173,0.0,0.0,1719416.250611456,169305.06712298453,169305.06712298453,1888721.3177344406,-65337692.04954462,1888721.3177344406
02-03,840.2099942111512,164.41005051358425,1985.9452180175047,2145.4559439229074,1566.0655932903574,419.87962472714725,0.0,466.53291636349775,579.3903506325496,0.0,0.0,1668611.020134151,95257.59681458077,95257.59681458077,1763868.6169487317,-63678183.05962154,1763868.6169487317
02-04,815.034482791615,193.83270668727116,2216.2972516634986,2474.5374078360387,1752.6364619025137,463.66078976098487,0.0,515.1786552899821,721.9009459335251,0.0,0.0,1806358.6842220374,139928.01431039657,139928.01431039657,1946286.698532434,-61854478.78606092,1946286.698532434
02-05,758.6793838877875,189.8350203155781,2177.749391993526,2794.0407058993364,1729.8879310469902,447.8614609465357,0.0,497.6238454961509,1064.1527748523463,0.0,0.0,1652213.566979652,202013.46363297396,202013.46363297396,1854227.030612626,-60124085.84740469,1854227.030612626
02-06,799.5145148484808,172.23658999891762,2099.2052110020436,2516.8239706802638,1667.4966241084278,431.70858689361586,0.0,479.6762076595744,849.3273465718355,0.0,0.0,1678345.0358417016,146285.24596636184,146285.24596636184,1824630.2818080634,-58428222.204432696,1824630.2818080634
02-07,807.1518251974593,185.3471541093032,2084.851222785206,2552.9222350634736,1656.094581674166,428.75664111104004,0.0,476.3962679011554,896.8276533893082,0.0,0.0,1682791.469736234,166224.45328223286,166224.45328223286,1849015.923018467,-56716666.93611863,1849015.923018467
02-08,719.7312002841455,183.61278770066224,1971.2888990317808,2657.73389176816,1565.8867303920358,405.40216863974496,0.0,450.44685404416026,1091.847161376124,0.0,0.0,1418798.1254069554,200477.10104332495,200477.10104332495,1619275.2264502803,-55223854.744876355,1619275.2264502803
02-09,735.1173782855567,150.67866552989605,1890.6366519250032,2611.0150355922133,1501.8208881997361,388.8157637252671,0.0,432.0175152502977,1109.1941473924774,0.0,0.0,1389839.858853691,167131.89394266933,167131.89394266933,1556971.7527963603,-53794304.38193207,1556971.7527963603
02-10,760.3431992553593,143.48367787772156,1932.3773490198414,2783.1905146913173,1534.9774710477516,397.3998779720898,0.0,441.55541996899,1248.2130436435664,0.0,0.0,1469269.9757223362,179098.19827692388,179098.19827692388,1648368.1739992602,-52286978.444175325,1648368.1739992602
02-11,748.1945583338295,152.69207353444241,1843.61245231367,2234.7945017336474,1464.4673728348093,379.14507947886057,0.0,421.27231053206776,770.3271288988386,0.0,0.0,1379380.8044975747,117622.84661139737,117622.84661139737,1497003.651108972,-50923620.05026316,1497003.651108972
02-12,770.2087645592384,133.8296049733466,1887.0564551107852,2317.092954810998,1498.9769708589902,388.07948425179495,0.0,431.19942694643896,818.1159839520064,0.0,0.0,1453427.4209444139,109488.13895467778,109488.13895467778,1562915.5598990917,-49506009.56509392,1562915.5598990917
03-01,761.0156155488282,160.32644812125878,1879.2880278348464,2755.5583562024913,1492.806146687362,386.4818811474845,0.0,429.4243123860926,1262.752209515129,0.0,0.0,1430167.535296279,202452.57660883223,202452.57660883223,1632620.1119051112,-48031183.61993243,1632620.1119051112
03-02,718.8059630098901,168.52567952731548,2023.0410642003392,2624.685833576921,1606.9958893520977,416.04517484824146,0.0,462.27241649804563,1017.6899442248238,0.0,0.0,1454173.9803610777,171506.88939860422,171506.88939860422,1625680.8697596819,-46568585.04072999,1625680.8697596819
03-03,713.8852354544115,174.60522848858784,2089.477623496195,2738.5355737093246,1659.7695475740763,429.7080759221187,0.0,477.45341769124366,1078.766026135248,0.0,0.0,1491647.2252263054,188358.1884790709,188358.1884790709,1680005.4137053764,-45063244.49855916,1680005.4137053764
03-04,782.37803157656,199.4208469664067,2234.854401096417,2344.743732053881,1758.0789124556684,476.7754886407485,0.0,529.7505429341651,586.6648195982127,0.0,0.0,1748500.9871900266,116993.19520966978,116993.19520966978,1865494.1823996964,-43398482.31795569,1865494.1823996964
03-05,762.9922267824874,191.75541943774394,2248.641882418968,2660.721330877842,1786.201143228202,462.44073919076607,0.0,513.8230435452961,874.5201876496401,0.0,0.0,1715696.2771032127,167693.98538953127,167693.98538953127,1883390.262492744,-41724569.45001802,1883390.262492744
03-06,646.7650057278788,190.64952928363064,1972.3417592774967,2708.8177452565433,1566.7230663996772,405.6186928778195,0.0,450.68743653091025,1142.0946788568663,0.0,0.0,1275641.6292364448,217739.81292140085,217739.81292140085,1493381.4421578457,-40402672.79846081,1493381.4421578457
03-07,692.6927452509856,199.1658083770435,2000.199376207338,2792.17186864395,1588.851671046215,411.347705161123,0.0,457.0530057345818,1203.3201975977352,0.0,0.0,1385523.59695437,239660.23989097663,239660.23989097663,1625183.8368453465,-38969945.711013466,1625183.8368453465
03-08,719.3544578458964,207.43495438910023,1922.09498070758,2483.2320645148116,1526.809706239112,395.28527446846795,0.0,439.2058605205197,956.4223582756993,0.0,0.0,1382667.5927752198,198395.42826563536,198395.42826563536,1581063.0210408552,-37581770.1839813,1581063.0210408552
03-09,732.4742866249162,234.52740553891135,1992.9793058231696,2512.4329209915154,1583.1164323338078,409.8628734893619,0.0,455.40319276595807,929.3164886577079,0.0,0.0,1459806.095291047,217950.18500942335,217950.18500942335,1677756.2803004703,-36114674.96861613,1677756.2803004703
03-10,642.7718471958905,248.1709930970397,1881.9334956868074,2473.8262019293807,1494.9075652095783,387.0259304772292,0.0,430.02881164136517,978.9186367198025,0.0,0.0,1209653.8693224285,242939.21023595365,242939.21023595365,1452593.079558382,-34849625.16541645,1452593.079558382
03-11,602.6685791339534,293.966857180626,1878.2360487348749,2431.8848428580864,1491.9705106148897,386.26553811998514,0.0,429.18393124442895,939.9143322431975,0.0,0.0,1131953.8507692178,276303.6622685595,276303.6622685595,1408257.5130377773,-33628163.18207543,1408257.5130377773
03-12,623.1348522687109,291.4397040169736,2007.9515130033647,2463.540726063353,1595.0095549297207,412.94195807364383,0.0,458.82439785960327,868.5311711336318,0.0,0.0,1251224.5694180862,253124.46744470112,253124.46744470112,1504349.0368627873,-32328649.92271875,1504349.0368627873
04-01,570.4884549772187,302.6656396047938,2030.585640320618,3003.247930885164,1612.9888981084396,417.5967422121785,0.0,463.99638023575375,1390.2590327767236,0.0,0.0,1158425.6646454358,420783.639371709,420783.639371709,1579209.3040171447,-30970004.838210348,1579209.3040171447
04-02,544.1495796378673,291.8507283620814,2038.9588526292396,2160.60988662942,1605.2872942587635,433.671558370476,0.0,481.857287078308,555.3225923706561,0.0,0.0,1109498.602557109,162071.3030592952,162071.3030592952,1271569.9056164043,-29880470.82208773,1271569.9056164043
04-03,607.7433794036506,258.63526225367076,2068.406021647066,2539.8787549359326,1643.0313912643333,425.37463038273285,0.0,472.6384782030371,896.8473636715988,0.0,0.0,1257060.0655746483,231956.3531047172,231956.3531047172,1489016.4186793654,-28609796.468353804,1489016.4186793654
04-04,730.2233846211138,304.708394276014,2268.370827885128,2645.9482666765584,1800.763925027556,467.6069028575722,0.0,519.5632253973026,845.1843416490026,0.0,0.0,1656417.4235140763,257534.76361109762,257534.76361109762,1913952.1871251739,-26983124.107768547,1913952.1871251739
04-05,730.6183813649046,269.33623479489137,2226.3781271531125,2697.383103104411,1768.5160038472507,457.86212330586187,0.0,508.7356925620685,928.8670992571604,0.0,0.0,1626632.7835668349,250177.5671387762,250177.5671387762,1876810.350705611,-25394490.96733974,1876810.350705611
04-06,688.92812656825,254.86524646320933,2029.8486232825783,2558.685001839077,1612.4034510943027,417.4451721882756,0.0,463.82796909808417,946.2815507447738,0.0,0.0,1398419.8092552081,241174.2806541547,241174.2806541547,1639594.0899093628,-24012281.70963666,1639594.0899093628
04-07,707.4410286132461,247.03482686731246,1979.0722880405124,2515.1389126579675,1572.0694393659655,407.0028486745467,0.0,452.2253874161626,943.0694732920016,0.0,0.0,1400076.9351513505,232971.00405853716,232971.00405853716,1633047.9392098875,-22641177.032672733,1633047.9392098875
04-08,730.5134107760572,222.45365814408095,2056.277174112845,2420.0608935495734,1633.3968818739982,422.8802922388467,0.0,469.8669913764966,786.6640116755749,0.0,0.0,1502138.0519621267,174996.28712752965,174996.28712752965,1677134.3390896565,-21238771.053978827,1677134.3390896565
04-09,706.4594822015946,220.82782870991397,1944.5870102027789,2377.003817296352,1544.6761744891064,399.9108357136723,0.0,444.3453730151921,832.3276428072448,0.0,0.0,1373771.932323802,183801.10613636472,183801.10613636472,1557573.0384601667,-19941625.98382514,1557573.0384601667
04-10,706.6083996956398,226.50679562633303,1811.7640649737584,2503.883201708625,1439.1687130876521,372.59535188610624,0.0,413.9948354290074,1064.7144886209735,0.0,0.0,1280207.7065771746,241165.06707446653,241165.06707446653,1521372.773651641,-18679769.41325131,1521372.773651641
04-11,656.5924871661249,210.7173719946944,2095.4896855625307,2678.731246517654,1664.5452089277178,430.9444766348129,0.0,478.8271962609028,1014.1860375899358,0.0,0.0,1375882.784474463,213706.6165546636,213706.6165546636,1589589.4010291265,-17366682.306530066,1589589.4010291265
04-12,640.9570531501319,236.4868173854019,1807.9091099572152,2815.452695535822,1436.1065424897108,371.8025674675044,0.0,413.11396385278357,1379.3461530461109,0.0,0.0,1158792.0954814544,326197.18180667225,326197.18180667225,1484989.2772881268,-16144977.95306572,1484989.2772881268
05-01,648.987037479515,272.3073966779788,2038.4270247472655,2208.452442016597,1607.837805354825,430.58921939244044,0.0,478.43246599160085,600.614636661772,0.0,0.0,1322912.71590891,163551.80811605725,163551.80811605725,1486464.524024967,-14927022.013719968,1486464.524024967
05-02,612.5405135690866,309.03617672000104,2111.5841944302233,2591.7309149865496,1677.3298281078264,434.2543663223968,0.0,482.50485146933005,914.4010868787229,0.0,0.0,1293430.866900655,282583.01587761403,282583.01587761403,1576013.882778269,-13640932.217249032,1576013.882778269
05-03,670.5329501425608,333.3426147405341,2101.3039105462235,2469.642456037333,1669.1637190577908,432.1401914884328,0.0,480.1557683204816,800.478736979542,0.0,0.0,1408993.510284659,266833.67522896075,266833.67522896075,1675827.1855136198,-12278939.735430928,1675827.1855136198
05-04,728.1187538066198,355.78687526850587,2170.954543854169,2028.568794483234,1692.5294296887462,478.42511416542294,0.0,531.5834601838033,336.03936479448714,0.0,0.0,1580712.7170419162,119558.39556744414,119558.39556744414,1700271.1126093604,-10902687.997826882,1700271.1126093604
05-05,713.0606309216722,261.5174811037469,2186.3272497420344,2672.3425163887173,1736.7017236017887,449.6255261402456,0.0,499.5839179336059,935.6407927869282,0.0,0.0,1558983.8881022995,244686.42334755024,244686.42334755024,1803670.3114498497,-9448665.635289086,1803670.3114498497
05-06,706.7842711767881,281.90594174363036,1962.2624664680334,2010.8620232977048,1540.7033886017407,421.5590778662926,0.0,468.3989754069927,470.1586346959639,0.0,0.0,1386896.2472201756,132540.51268286517,132540.51268286517,1519436.7599030407,-8228747.231060349,1519436.7599030407
05-07,729.9694584242435,280.7609761572805,2093.612287129286,2705.5898759993847,1663.0539037741605,430.55838335512556,0.0,478.3982037279172,1042.5359722252242,0.0,0.0,1528273.0273861066,292703.4172410334,292703.4172410334,1820976.44462714,-6772662.300532103,1820976.44462714
05-08,693.5020636901025,295.27353390413515,2047.534724359659,2578.4009471289482,1626.452346211896,421.0823781477633,0.0,467.86930905307025,951.9486009170522,0.0,0.0,1419969.5568205689,281085.2274878752,281085.2274878752,1701054.784308444,-5417987.958824237,1701054.784308444
05-09,722.6678587580334,310.6278145415328,1913.03898133535,2451.9966254189753,1519.616103487948,393.4228778474018,0.0,437.13653094155825,932.3805219310275,0.0,0.0,1382491.7843622668,289623.3238485288,289623.3238485288,1672115.1082107956,-4091763.600074173,1672115.1082107956
05-10,736.8757950755456,290.3950148531204,2030.7212786964158,2506.031970407825,1613.0966419976776,417.62463669873824,0.0,464.0273741097088,892.9353284101472,0.0,0.0,1496389.3568162501,259303.96795654067,259303.96795654067,1755693.3247727908,-2704900.119090598,1755693.3247727908
05-11,721.5048014786732,271.77200716186735,1929.4594224326675,2566.668929249835,1532.659625842334,396.7997965903335,0.0,440.88866287814864,1034.009303407502,0.0,0.0,1392114.2375434372,281014.7838111011,281014.7838111011,1673129.0213545384,-1388618.8176488983,1673129.0213545384
05-12,778.4108309274806,313.8436320033703,2073.584553224985,2497.199688870719,1647.144940467985,426.439612757,0.0,473.8217919522226,850.0547484027337,0.0,0.0,1614100.675074249,266784.2696404251,266784.2696404251,1880884.9447146743,85103.75265162531,1880884.9447146743
06-01,824.823258010064,252.98519272398187,2092.1880445924203,2529.8940431637934,1661.9225614881905,430.2654831042299,0.0,478.0727590046992,867.9714816756021,0.0,0.0,1725685.3593104251,219583.9325706223,219583.9325706223,1945269.2918810474,1603088.685151275,1945269.2918810474
06-02,860.1921831131415,255.80600801691224,2083.400617818555,2346.4294758865767,1648.7860700809886,434.61454773756645,0.0,482.90505304174064,697.6434058055886,0.0,0.0,1792124.9257406106,178461.37465845037,178461.37465845037,1970586.3003990608,3134590.1411814606,1970586.3003990608
06-03,830.7702312854839,265.23422792382104,1967.953564780767,2573.325469650547,1563.237318807742,404.716245973025,0.0,449.68471774780573,1010.0881508428046,0.0,0.0,1634917.2381720103,267909.9508237913,267909.9508237913,1902827.1889958016,4607429.998027641,1902827.1889958016
06-04,866.0774290101114,301.3869509767039,2398.9234644968114,2336.0045883962553,1876.0512153908217,522.8722491059898,0.0,580.9691656733225,459.9533730054328,0.0,0.0,2077653.4665234275,138623.94468155797,138623.94468155797,2216277.4112049853,6315928.195791646,2216277.4112049853
06-05,826.4173780923855,332.6164780591809,2294.862606701194,2340.9180830628106,1801.1886414079167,493.6739652932774,0.0,548.5266281036414,539.7294416548937,0.0,0.0,1896514.3385122584,179522.9059880989,179522.9059880989,2076037.2445003572,7909823.424607134,2076037.2445003572
06-06,905.4746959050392,333.5850052839246,2124.868394557502,2179.1066948032094,1668.4750157569968,456.3933788005054,0.0,507.1037542227843,510.6316790462117,0.0,0.0,1924014.563400183,170339.07135276982,170339.07135276982,2094353.634752953,9511256.77990206,2094353.634752953
06-07,983.1738914878546,348.49581748017977,2173.252408620283,2441.299742361504,1719.506044025654,453.74636459462886,0.0,504.16262732736544,721.79369833585,0.0,0.0,2136685.0277685565,251542.0849535943,251542.0849535943,2388227.112722151,11329988.765189711,2388227.112722151
06-08,1010.920299922682,349.3690711951427,2207.40710518811,2374.999012623404,1740.109371098787,467.29773408932306,0.0,519.2197045436917,634.8896415246164,0.0,0.0,2231512.6528282235,221810.80437087233,221810.80437087233,2453323.4571990957,13190713.439155981,2453323.4571990957
06-09,956.9895350215285,392.73527404730214,1933.4484878579462,2510.3614299271517,1535.8283265939983,397.62016126394786,0.0,441.800179182165,974.5331033331532,0.0,0.0,1850289.9693832533,382733.52540571376,382733.52540571376,2233023.494788967,14877479.378897665,2233023.494788967
06-10,968.068212546768,361.2200877026126,1942.5612975819126,2776.4642939067667,1543.0670564576703,399.4942411242423,0.0,443.88249013804705,1233.3972374490963,0.0,0.0,1880531.8431126524,445527.85828352266,445527.85828352266,2326059.701396175,16627393.004220631,2326059.701396175
06-11,1040.09815673514,349.93129586050935,1800.8357950679313,2615.3563397019316,1430.4878785128303,370.34791655510094,0.0,411.49768506122194,1184.8684611891008,0.0,0.0,1873045.9910328158,414622.55604814965,414622.55604814965,2287668.5470809652,18341441.406651404,2287668.5470809652
