Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,913.2476224522246,114.03786631906556,1988.9552749805755,2428.012366331556,1579.9199569200814,409.03531806049403,0.0,454.4836867338824,848.0924094114753,0.0,0.0,1816408.6760398212,96714.64881068004,96714.64881068004,1913123.3248505013,-79274639.35028891,1913123.3248505013
01-02,863.280527214066,120.97243529816933,2181.8228781345797,1888.707544467694,1691.8006459012959,490.0222322332837,0.0,544.469146925872,196.9068985663979,0.0,0.0,1883525.2045237308,23820.30704658676,23820.30704658676,1907345.5115703174,-77382740.89832471,1907345.5115703174
01-03,849.9206102396595,135.82645299418442,2263.757751323861,2393.436707554061,1781.9428462689036,481.8149050549576,0.0,535.349894505509,611.4938612851583,0.0,0.0,1924014.3694399353,83057.04220608089,83057.04220608089,2007071.4116460162,-75400002.12175629,2007071.4116460162
01-04,971.7530867787995,130.03583451824574,2286.8497512714252,2381.2102208173524,1797.8724067399899,488.9773445314354,0.0,543.3081605904839,583.3378140773625,0.0,0.0,2222253.3047973374,75854.81945959911,75854.81945959911,2298108.1242569364,-73138966.74038334,2298108.1242569364
01-05,997.2443207566047,121.98881604633614,2116.5745248040266,1955.702054792384,1648.7806850985367,467.7938397054899,0.0,519.7709330060994,306.9213696938463,0.0,0.0,2110741.924318925,37440.97450827215,37440.97450827215,2148182.898827197,-71034013.85134217,2148182.898827197
01-06,1023.3242063917933,119.03498090806366,1980.0473315552333,2317.264888088602,1572.3442365222102,407.70309503302315,0.0,453.0034389255807,744.9206515663916,0.0,0.0,2026230.3641819472,88671.61553722777,88671.61553722777,2114901.979719175,-68970080.85505523,2114901.979719175
01-07,970.1258527809757,123.2223825677481,2179.139727338593,2035.9549189535735,1698.8947150468161,480.2450122917766,0.0,533.6055692130842,337.06020390675735,0.0,0.0,2114039.7863132553,41533.361394161635,41533.361394161635,2155573.147707417,-66874992.5122081,2155573.147707417
01-08,999.8652395747358,139.98406160462292,2051.652285207297,2057.6569398122156,1608.140742439994,443.5115427673031,0.0,492.79060307478045,449.51619737222063,0.0,0.0,2051375.8036728485,62925.103065228766,62925.103065228766,2114300.9067380773,-64828356.57047579,2114300.9067380773
01-09,1089.485077606105,137.44720205649017,2027.984054708611,1814.277947071158,1576.116167912944,451.8678867956668,0.0,502.0754297729626,238.16177915821396,0.0,0.0,2209458.3652281547,32734.670182092224,32734.670182092224,2242193.035410247,-62666728.23335583,2242193.035410247
01-10,1014.4476268199103,147.29834714755444,1810.3985192073628,2022.3420513848612,1431.7150613841648,378.6834578231981,0.0,420.7593975813306,590.6269900006965,0.0,0.0,1836554.481408189,86998.37940783777,86998.37940783777,1923552.8608160268,-60819815.49640603,1923552.8608160268
01-11,913.527057678423,160.84462519813806,1827.2157496197044,2232.4562649182444,1451.4427070015697,375.7730426181347,0.0,417.5256029090385,781.0135579166744,0.0,0.0,1669211.0274937628,125621.83299777178,125621.83299777178,1794832.8604915345,-59103486.70427638,1794832.8604915345
01-12,929.3933389057294,177.28961418892197,1932.519332484764,2396.94561210255,1535.090255137271,397.429077347493,0.0,441.587863719436,861.8553569652793,0.0,0.0,1796070.5949178862,152798.00372302998,152798.00372302998,1948868.5986409162,-57247421.372237414,1948868.5986409162
02-01,855.7502263353103,187.325921351728,1986.6167269398115,2152.889365488323,1567.0065942690903,419.61013267072127,0.0,466.23348074524563,585.8827712192327,0.0,0.0,1700047.7137202572,109751.02992274644,109751.02992274644,1809798.7436430035,-55530797.26027099,1809798.7436430035
02-02,872.1054127632336,174.07886858485142,1971.569291335493,2132.930833615753,1554.9134614213135,416.65582991417955,0.0,462.95092212686546,578.0173721944388,0.0,0.0,1719416.250611456,100620.61017399687,100620.61017399687,1820036.8607854529,-53811466.889219694,1820036.8607854529
02-03,840.2099942111512,164.41005051358425,1985.9452180175047,1776.636148188793,1543.4422474267285,442.5029705907762,0.0,491.6699673230851,233.19390076206477,0.0,0.0,1668611.020134151,38339.421003750824,38339.421003750824,1706950.4411379017,-52205508.500254355,1706950.4411379017
02-04,815.034482791615,193.83270668727116,2216.2972516634986,2052.3815233028126,1726.7414890875339,489.55576257596476,0.0,543.9508473066269,325.64003421527894,0.0,0.0,1806358.6842220374,63119.68923768311,63119.68923768311,1869478.3734597205,-50453774.954739995,1869478.3734597205
02-05,758.6793838877875,189.8350203155781,2177.749391993526,2346.5424159871054,1716.9418512122902,460.8075407812358,0.0,512.0083786458181,629.6005647748152,0.0,0.0,1652213.566979652,119520.2360047265,119520.2360047265,1771733.8029843785,-48800365.953982525,1771733.8029843785
02-06,799.5145148484808,172.23658999891762,2099.2052110020436,2097.4747234385018,1644.931006920559,454.27420408148464,0.0,504.74911564609494,452.543716517942,0.0,0.0,1678345.0358417016,77944.58655848718,77944.58655848718,1756289.6224001888,-47168020.07720243,1756289.6224001888
02-07,807.1518251974593,185.3471541093032,2084.851222785206,2132.8121625837944,1636.7306023198453,448.12062046536073,0.0,497.9118005170678,496.08156026394977,0.0,0.0,1682791.469736234,91947.30540102588,91947.30540102588,1774738.7751372599,-45525220.00033306,1774738.7751372599
02-08,719.7312002841455,183.61278770066224,1971.2888990317808,2243.908941502079,1561.518310840865,409.7705881909158,0.0,455.3006535454621,682.3906306612141,0.0,0.0,1418798.1254069554,125295.64599651852,125295.64599651852,1544093.7714034738,-44101717.70207003,1544093.7714034738
02-09,735.1173782855567,150.67866552989605,1890.6366519250032,2209.899986328804,1501.1764617255972,389.46019019940604,0.0,432.7335446660079,708.7235246032072,0.0,0.0,1389839.858853691,106789.51491685573,106789.51491685573,1496629.3737705466,-42727571.343522325,1496629.3737705466
02-10,760.3431992553593,143.48367787772156,1932.3773490198414,2358.881839078119,1534.9774710477516,397.3998779720898,0.0,441.55541996899,823.9043680303676,0.0,0.0,1469269.9757223362,118216.82894451701,118216.82894451701,1587486.8046668533,-41275917.4750086,1587486.8046668533
02-11,748.1945583338295,152.69207353444241,1843.61245231367,1864.8424378369157,1446.0447430960585,397.5677092176116,0.0,441.7418991306801,418.797694740857,0.0,0.0,1379380.8044975747,63947.088401425906,63947.088401425906,1443327.8928990006,-39961442.92680446,1443327.8928990006
02-12,770.2087645592384,133.8296049733466,1887.0564551107852,1936.4059917454836,1481.8143808870932,405.242074223692,0.0,450.2689713596579,454.5916108583902,0.0,0.0,1453427.4209444139,60837.81570537565,60837.81570537565,1514265.2366497896,-38587959.71895885,1514265.2366497896
03-01,761.0156155488282,160.32644812125878,1879.2880278348464,2336.481689282941,1492.806146687362,386.4818811474845,0.0,429.42431238609294,843.675542595578,0.0,0.0,1430167.535296279,135263.5031111248,135263.5031111248,1565431.0384074037,-37173828.96437059,1565431.0384074037
03-02,718.8059630098901,168.52567952731548,2023.0410642003392,2206.995026939586,1596.6350087821104,426.4060554182288,0.0,473.78450602025384,610.3600181574756,0.0,0.0,1454173.9803610777,102861.33681629319,102861.33681629319,1557035.317177371,-35772989.66987346,1557035.317177371
03-03,713.8852354544115,174.60522848858784,2089.477623496195,2305.245544550362,1650.6493229442353,438.8283005519598,0.0,487.5870006132895,654.5962216061268,0.0,0.0,1491647.2252263054,114295.92284130405,114295.92284130405,1605943.1480676094,-34334011.37284782,1605943.1480676094
03-04,782.37803157656,199.4208469664067,2234.854401096417,1938.8574714119707,1733.181915705481,501.6724853909359,0.0,557.4138726565963,205.67555570648898,0.0,0.0,1748500.9871900266,41015.993519274394,41015.993519274394,1789516.9807093008,-32737051.05040911,1789516.9807093008
03-05,762.9922267824874,191.75541943774394,2248.641882418968,2213.9202137571615,1760.0130242644357,488.6288581545325,0.0,542.9209535050366,453.9071894927266,0.0,0.0,1715696.2771032127,87039.16350698531,87039.16350698531,1802735.440610198,-31134822.286875654,1802735.440610198
03-06,646.7650057278788,190.64952928363064,1972.3417592774967,2291.391496727627,1565.1913721458502,407.1503871316465,0.0,452.38931903516215,726.2001245817764,0.0,0.0,1275641.6292364448,138449.7119172296,138449.7119172296,1414091.3411536745,-29883110.864664536,1414091.3411536745
03-07,692.6927452509856,199.1658083770435,2000.199376207338,2364.6422799099337,1588.851671046215,411.347705161123,0.0,457.05300573458135,775.7906088637187,0.0,0.0,1385523.59695437,154510.9637456613,154510.9637456613,1540034.5607000312,-28525449.546174586,1540034.5607000312
03-08,719.3544578458964,207.43495438910023,1922.09498070758,2087.0970222996666,1516.3663435786132,405.72863712896674,0.0,450.8095968099626,570.7306787210543,0.0,0.0,1382667.5927752198,118389.49230896213,118389.49230896213,1501057.085084182,-27207519.34196279,1501057.085084182
03-09,732.4742866249162,234.52740553891135,1992.9793058231696,2105.934500779351,1568.7221307720338,424.25717505113596,0.0,471.3968611679288,537.2123700073173,0.0,0.0,1459806.095291047,125991.0233612258,125991.0233612258,1585797.1186522727,-25820836.78703415,1585797.1186522727
03-10,642.7718471958905,248.1709930970397,1881.9334956868074,2083.0769430097976,1487.1107995784885,394.82269610831895,0.0,438.6918845647977,595.9661434313092,0.0,0.0,1209653.8693224285,147901.5096675608,147901.5096675608,1357555.3789899894,-24638554.433364894,1357555.3789899894
03-11,602.6685791339534,293.966857180626,1878.2360487348749,2044.4271142182251,1482.069330719576,396.16671801529884,0.0,440.1852422392222,562.35778349865,0.0,0.0,1131953.8507692178,165314.55022616102,165314.55022616102,1297268.4009953788,-23513359.63103975,1297268.4009953788
03-12,623.1348522687109,291.4397040169736,2007.9515130033647,2058.600866049392,1576.6332350659275,431.3182779374372,0.0,479.2425310415965,481.9676309834642,0.0,0.0,1251224.5694180862,140464.50371958278,140464.50371958278,1391689.073137669,-22311166.284198012,1391689.073137669
04-01,570.4884549772187,302.6656396047938,2030.585640320618,2547.2779683316426,1612.9888981084393,417.59674221217864,0.0,463.99638023575386,934.289070223202,0.0,0.0,1158425.6646454358,282777.19901487353,282777.19901487353,1441202.8636603092,-21071252.625184864,1441202.8636603092
04-02,544.1495796378673,291.8507283620814,2038.9588526292396,1787.4864717255286,1582.3999651001234,456.55888752911613,0.0,507.2876528101302,205.0865066254051,0.0,0.0,1109498.602557109,59854.6463358593,59854.6463358593,1169353.2488929683,-20069302.094659545,1169353.2488929683
04-03,607.7433794036506,258.63526225367076,2068.406021647066,2122.5996656695465,1624.2256727436743,444.18034890339186,0.0,493.5337210037691,498.37399292587156,0.0,0.0,1257060.0655746483,128897.08836079185,128897.08836079185,1385957.1539354401,-18886574.900528416,1385957.1539354401
04-04,730.2233846211138,304.708394276014,2268.370827885128,2198.9695985620788,1773.346326733271,495.02450115185707,0.0,550.0272235020636,425.6232718288081,0.0,0.0,1656417.4235140763,129690.98372545953,129690.98372545953,1786108.4072395358,-17368557.262151804,1786108.4072395358
