Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,1922.8250309051718,1562.5613278146554,437.438672185345,0.0,486.0429690948278,360.26370309051663,2.7013946635179308e-14,0.0,1800000.0000000005,43231.64437086199,43231.64437086199,1843231.6443708625,-71964247.43879962,1843231.6443708625
01-02,903.6667114052835,120.4888948540378,2040.0,1909.5804660966255,1590.6412194869638,449.35878051303615,0.0,499.28753390337437,318.93924660966167,0.0,0.0,1843480.0912667783,38428.637349577555,38428.637349577555,1881908.728616356,-70097579.764375,1881908.728616356
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,1889.713618883809,1632.7610569954265,467.23894300457306,0.0,519.1543811161913,256.9525618883815,2.7013946635179308e-14,0.0,1905431.5590380928,31086.06479986101,31086.06479986101,1936517.623837954,-68184539.42011403,1936517.623837954
01-04,911.0450109861355,121.47266813148472,2160.0,1869.846771670989,1674.88089450389,485.1191054961101,0.0,539.0212283290107,194.96587716709897,0.0,0.0,1967857.2237300526,23683.02529408283,23683.02529408283,1991540.2490241355,-66225126.4060167,1991540.2490241355
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,1856.6022068624425,1702.960786176199,497.0392138238014,0.0,552.2657931375572,153.64142068624358,0.0,0.0,2012464.7864934106,18739.269628962753,18739.269628962753,2031204.0561223733,-64234798.27869514,2031204.0561223733
01-06,918.4835532471899,122.46447376629199,2160.0,1869.846771670989,1674.88089450389,485.1191054961101,0.0,539.0212283290107,194.96587716709897,0.0,0.0,1983924.4750139301,23876.393549652297,23876.393549652297,2007800.8685635824,-62275385.26459781,2007800.8685635824
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,1889.713618883809,1632.7610569954265,467.23894300457306,0.0,519.1543811161913,256.9525618883815,2.7013946635179308e-14,0.0,1936673.694766364,31595.763010289193,31595.763010289193,1968269.4577766533,-60362344.920336835,1968269.4577766533
01-08,925.9828300606564,123.46437734142084,2040.0,1909.5804660966255,1590.6412194869638,449.35878051303615,0.0,499.28753390337437,318.93924660966167,0.0,0.0,1889004.9733237391,39377.635492403744,39377.635492403744,1928382.608816143,-58495677.24591222,1928382.608816143
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,1936.0695957137168,1534.4814361423464,425.5185638576537,0.0,472.7984042862827,401.58815957137045,0.0,0.0,1822320.581514439,49783.83459043626,49783.83459043626,1872104.4161048753,-56690839.79793607,1872104.4161048753
01-10,933.5433373148054,124.47244497530738,1900.0,1955.9364429265368,1492.3615986338832,407.63840136611685,0.0,452.9315570734631,463.57484429265327,0.0,0.0,1773732.3408981303,57702.294298153975,57702.294298153975,1831434.6351962844,-54932375.019796275,1831434.6351962844
