Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,2353.3385524712253,1588.6932972241034,411.3067027758972,0,457.0074475287748,764.6452552471219,0.0,0,1800000.0000000005,91757.43062965463,91757.43062965463,1891757.430629655,-84215918.55041443,1891757.430629655
01-02,903.6667114052835,120.4888948540378,2040.0,2340.4226779853702,1617.0690101868336,422.93098981316643,0,469.9233220146297,723.3536677985367,0.0,0,1843480.0912667783,87156.08402166047,87156.08402166047,1930636.1752884388,-82300918.05932505,1930636.1752884388
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,2320.555830772553,1659.1888476952963,440.81115230470334,0,489.79016922744694,661.3669830772562,0.0,0,1905431.5590380928,80012.03312134708,80012.03312134708,1985443.5921594398,-80339544.89839932,1985443.5921594398
01-04,911.0450109861355,121.47266813148472,2160.0,2300.6889835597326,1701.3086852037598,458.6913147962402,0,509.65701644026745,599.3802983559726,0.0,0,1967857.2237300526,72808.32406674536,72808.32406674536,2040665.547796798,-78331799.06763723,2040665.547796798
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,2287.444418751187,1729.3885768760688,470.6114231239317,0,522.9015812488132,558.0558418751182,5.4027893270358616e-14,0,2012464.7864934106,68064.71094973394,68064.71094973394,2080529.4974431444,-76293138.12365091,2080529.4974431444
01-06,918.4835532471899,122.46447376629199,2160.0,2300.6889835597326,1701.3086852037598,458.6913147962402,0,509.65701644026745,599.3802983559726,0.0,0,1983924.4750139301,73402.79282404727,73402.79282404727,2057327.2678379775,-74285392.29288882,2057327.2678379775
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,2320.555830772553,1659.1888476952963,440.81115230470334,0,489.79016922744694,661.3669830772562,0.0,0,1936673.694766364,81323.93896588657,81323.93896588657,2017997.6337322507,-72324019.13196309,2017997.6337322507
01-08,925.9828300606564,123.46437734142084,2040.0,2340.4226779853702,1617.0690101868336,422.93098981316643,0,469.9233220146297,723.3536677985367,0.0,0,1889004.9733237391,89308.4101923793,89308.4101923793,1978313.3835161184,-70409018.64087372,1978313.3835161184
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,2362.4787014218005,1556.919431279621,403.0805687203792,0,447.86729857819967,805.5592701421791,0.0,0,1822320.581514439,99863.07738842467,99863.07738842467,1922183.6589028637,-68555901.35765411,1922183.6589028637
01-10,933.5433373148054,124.47244497530738,1900.0,2376.188924847664,1509.258632362898,390.7413676371021,0,434.15707515233584,866.9302924847661,6.753486658794827e-14,0,1773732.3408981303,107908.93312873719,107908.93312873719,1881641.2740268675,-66749230.323983446,1881641.2740268675
01-11,937.3467084284262,124.97956112379015,1900.0,2376.188924847664,1509.258632362898,390.7413676371021,0,434.15707515233584,866.9302924847661,6.753486658794827e-14,0,1780958.7460140097,108348.5674796651,108348.5674796651,1889307.3134936749,-64942559.29031278,1889307.3134936749
