Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,2754.816552471225,1588.6932972241034,411.3067027758972,0,457.0074475287751,1166.123255247122,0.0,0,1800000.0000000005,139934.79062965463,139934.79062965463,1939934.7906296551,-96467936.67451622,1939934.7906296551
01-02,903.6667114052835,120.4888948540378,2040.0,2745.6764035206506,1620.467163168585,419.53283683141495,0,466.14759647935006,1125.2092403520655,0.0,0,1843480.0912667783,135575.21784957175,135575.21784957175,1979055.30911635,-94504909.18266647,1979055.30911635
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,2731.9661800947883,1668.1279620853077,431.8720379146919,0,479.85781990521195,1063.8382180094804,0.0,0,1905431.5590380928,128702.91519403881,128702.91519403881,2034134.4742321316,-92495435.44126777,2034134.4742321316
01-04,911.0450109861355,121.47266813148472,2160.0,2718.2559566689233,1715.7887610020312,444.21123899796885,0,493.5680433310768,1002.467195666892,0.0,0,1967857.2237300526,121772.36497194454,121772.36497194454,2089629.5887019972,-90439515.45032014,2089629.5887019972
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,2709.115807718348,1747.5626269465138,452.43737305348674,0,502.70819228165203,961.5531807718348,0.0,0,2012464.7864934106,117278.29797842728,117278.29797842728,2129743.084471838,-88352631.29300655,2129743.084471838
01-06,918.4835532471899,122.46447376629199,2160.0,2718.2559566689233,1715.7887610020312,444.21123899796885,0,493.5680433310768,1002.467195666892,0.0,0,1983924.4750139301,122766.6175853164,122766.6175853164,2106691.0925992467,-86296711.30205892,2106691.0925992467
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,2731.9661800947883,1668.1279620853077,431.8720379146919,0,479.85781990521195,1063.8382180094804,0.0,0,1936673.694766364,130813.1741146721,130813.1741146721,2067486.868881036,-84287237.56066023,2067486.868881036
01-08,925.9828300606564,123.46437734142084,2040.0,2745.6764035206506,1620.467163168585,419.53283683141495,0,466.14759647935006,1125.2092403520655,0.0,0,1889004.9733237391,138923.25823888092,138923.25823888092,2027928.23156262,-82324210.06881048,2027928.23156262
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,2763.9567014218,1556.919431279621,403.0805687203792,0,447.86729857819955,1207.0372701421795,5.4027893270358616e-14,0,1822320.581514439,149633.25578470048,149633.25578470048,1971953.8372991395,-80423110.90969265,1971953.8372991395
01-10,933.5433373148054,124.47244497530738,1900.0,2777.666924847665,1509.258632362898,390.7413676371021,0,434.1570751523354,1268.408292484767,0.0,0,1773732.3408981303,157881.88139253375,157881.88139253375,1931614.222290664,-78568458.00012375,1931614.222290664
01-11,937.3467084284262,124.97956112379015,1900.0,2777.666924847665,1509.258632362898,390.7413676371021,0,434.1570751523354,1268.408292484767,0.0,0,1780958.7460140097,158525.11172052223,158525.11172052223,1939483.8577345319,-76713805.09055486,1939483.8577345319
01-12,941.1655749467589,125.48874332623451,1960.0000000000002,2763.9567014218,1556.919431279621,403.0805687203792,0,447.86729857819955,1207.0372701421795,5.4027893270358616e-14,0,1844684.5268956476,151469.59017807076,151469.59017807076,1996154.1170737185,-74812705.93143703,1996154.1170737185
02-01,945.0000000000006,126.00000000000007,2000.0000000000005,2738.7574324712245,1588.6932972241034,411.3067027758972,0,457.0074475287751,1150.0641352471212,0.0,0,1890000.0000000016,144908.08104113734,144908.08104113734,2034908.081041139,-72882561.88098918,2034908.081041139
02-02,948.8500469755483,126.51333959673977,2040.0,2729.61728352065,1620.467163168585,419.53283683141495,0,466.1475964793503,1109.1501203520645,0.0,0,1935654.0958301185,140322.28583986554,140322.28583986554,2075976.381669984,-70921453.66417536,2075976.381669984
02-03,952.7157795190471,127.02877060253962,2099.9999999999995,2715.9070600947875,1668.1279620853077,431.8720379146919,0,479.85781990521207,1047.7790980094796,0.0,0,2000703.1369899986,133098.09068318206,133098.09068318206,2133801.227673181,-68913899.1978126,2133801.227673181
02-04,956.5972615354427,127.54630153805904,2160.0,2702.196836668923,1715.7887610020312,444.21123899796885,0,493.5680433310762,986.408075666892,1.3506973317589654e-14,0,2066250.0849165563,125812.70185858598,125812.70185858598,2192062.7867751424,-66859898.4819009,2192062.7867751424
02-05,960.4945571900372,128.06594095867163,2200.0000000000005,2693.056687718347,1747.5626269465138,452.43737305348674,0,502.7081922816523,945.4940607718337,0.0,0,2113088.0258180825,121085.58656358033,121085.58656358033,2234173.6123816627,-64774933.59962324,2234173.6123816627
02-06,964.40773090955,128.58769745460665,2160.0,2702.196836668923,1715.7887610020312,444.21123899796885,0,493.5680433310762,986.408075666892,1.3506973317589654e-14,0,2083120.698764628,126839.94320063507,126839.94320063507,2209960.641965263,-62720932.88371154,2209960.641965263
02-07,968.3368473831829,129.11157965109103,2099.9999999999995,2715.9070600947875,1668.1279620853077,431.8720379146919,0,479.85781990521207,1047.7790980094796,0.0,0,2033507.3795046837,135280.41446939926,135280.41446939926,2168787.793974083,-60713378.41734878,2168787.793974083
02-08,972.2819715636898,129.63759620849194,2040.0,2729.61728352065,1620.467163168585,419.53283683141495,0,466.1475964793503,1109.1501203520645,0.0,0,1983455.221989927,143787.55543680117,143787.55543680117,2127242.777426728,-58752270.20053496,2127242.777426728
02-09,976.2431686684499,130.16575582245997,1960.0000000000002,2747.8975814217997,1556.919431279621,403.0805687203792,0,447.86729857819984,1190.9781501421787,0.0,0,1913436.610590162,155024.5710812919,155024.5710812919,2068461.1816714539,-56853090.31645306,2068461.1816714539
02-10,980.2205041805463,130.6960672240728,1900.0,2761.6078048476643,1509.258632362898,390.7413676371021,0,434.157075152335,1252.3491724847663,1.3506973317589654e-14,0,1862418.957943038,163677.11163508098,163677.11163508098,2026096.069578119,-55000356.681920104,2026096.069578119
02-11,984.214043849848,131.2285391799797,1900.0,2761.6078048476643,1509.258632362898,390.7413676371021,0,434.157075152335,1252.3491724847663,1.3506973317589654e-14,0,1870006.6833147113,164343.9524484323,164343.9524484323,2034350.6357631437,-53147623.047387145,2034350.6357631437
02-12,988.2238536940974,131.76318049254627,1960.0000000000002,2747.8975814217997,1556.919431279621,403.0805687203792,0,447.86729857819984,1190.9781501421787,0.0,0,1936918.7532404312,156927.06895986275,156927.06895986275,2093845.822200294,-51248443.163305245,2093845.822200294
03-01,992.2500000000013,132.3000000000001,2000.0000000000005,2722.778608071224,1588.6932972241034,411.3067027758972,0,457.0074475287753,1134.0853108471213,2.7013946635179308e-14,0,1984500.000000003,150039.48662507426,150039.48662507426,2134539.486625077,-49320208.79151814,2134539.486625077
03-02,996.2925493243264,132.83900657657676,2040.0,2713.6384591206493,1620.467163168585,419.53283683141495,0,466.14759647935045,1093.1712959520644,0.0,0,2032436.8006216257,145215.78897230123,145215.78897230123,2177652.589593927,-47361010.25336507,2177652.589593927
03-03,1000.3515684950003,133.3802091326666,2099.9999999999995,2699.9282356947883,1668.1279620853077,431.8720379146919,0,479.857819905212,1031.8002736094797,2.7013946635179308e-14,0,2100738.2938395003,137621.73627717505,137621.73627717505,2238360.0301166754,-45355365.46566306,2238360.0301166754
03-04,1004.4271246122157,133.923616614962,2160.0,2686.2180122689233,1715.7887610020312,444.21123899796885,0,493.5680433310766,970.429251266892,0.0,0,2169562.589162386,129963.39499861187,129963.39499861187,2299525.984160998,-43303274.42841211,2299525.984160998
03-05,1008.5192850495399,134.4692380066052,2200.0000000000005,2677.077863318347,1747.5626269465138,452.43737305348674,0,502.70819228165215,929.5152363718344,0.0,0,2218742.427108988,124991.20555045007,124991.20555045007,2343733.632659438,-41220219.2247952,2343733.632659438
03-06,1012.6281174550282,135.01708232733696,2160.0,2686.2180122689233,1715.7887610020312,444.21123899796885,0,493.5680433310766,970.429251266892,0.0,0,2187276.7337028612,131024.52611115793,131024.52611115793,2318301.2598140193,-39168128.18754425,2318301.2598140193
03-07,1016.7536897523428,135.5671586336456,2099.9999999999995,2699.9282356947883,1668.1279620853077,431.8720379146919,0,479.857819905212,1031.8002736094797,2.7013946635179308e-14,0,2135182.7484799195,139878.23137065527,139878.23137065527,2275060.979850575,-37162483.39984224,2275060.979850575
03-08,1020.896070141875,136.11947601891654,2040.0,2713.6384591206493,1620.467163168585,419.53283683141495,0,466.14759647935045,1093.1712959520644,0.0,0,2082627.9830894251,148801.90400391494,148801.90400391494,2231429.88709334,-35203284.86168917,2231429.88709334
03-09,1025.0553271018732,136.67404361358297,1960.0000000000002,2731.9187570218,1556.919431279621,403.0805687203792,0,447.86729857819955,1174.9993257421795,0.0,0,2009108.4411196718,160591.90909241722,160591.90909241722,2169700.350212089,-33306014.656268023,2169700.350212089
03-10,1029.2315293895745,137.23087058527645,1900.0,2745.628980447664,1509.258632362898,390.7413676371021,0,434.15707515233584,1236.370348084766,0.0,0,1955539.9058401915,169668.17923349372,169668.17923349372,2125208.0850736853,-31455190.700395815,2125208.0850736853
03-11,1033.4247460423412,137.78996613897868,1900.0,2745.628980447664,1509.258632362898,390.7413676371021,0,434.15707515233584,1236.370348084766,0.0,0,1963507.0174804484,170359.42839783718,170359.42839783718,2133866.4458782854,-29604366.744523607,2133866.4458782854
03-12,1037.635046378803,138.35133951717359,1960.0000000000002,2731.9187570218,1556.919431279621,403.0805687203792,0,447.86729857819955,1174.9993257421795,0.0,0,2033764.6909024543,162562.7306482063,162562.7306482063,2196327.4215506604,-27707096.539102457,2196327.4215506604
04-01,1041.862500000002,138.9150000000001,2000.0000000000005,2706.879677793225,1588.6932972241034,411.3067027758972,0,457.0074475287748,1118.1863805691219,2.7013946635179308e-14,0,2083725.0000000044,155332.8610567597,155332.8610567597,2239057.861056764,-25780762.297582794,2239057.861056764
