Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,1664.3197037719249,1546.7046533947337,453.2953466052668,0.0,503.66149622807507,117.6150503771913,0.0,0,1800000.0000000005,14113.806045262956,14113.806045262956,1814113.8060452633,-64613247.12879848,1814113.8060452633
01-02,903.6667114052835,120.4888948540378,2040.0,1651.0751389633801,1574.784545067042,465.215454932958,0.0,516.90606103662,76.29059389633788,0.0,0,1843480.0912667783,9192.169346327953,9192.169346327953,1852672.2606131062,-62775579.14437272,1852672.2606131062
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,1631.208291750562,1616.9043825755048,483.0956174244948,0.0,536.7729082494377,14.303909175056875,0.0,0,1905431.5590380928,1730.4838069693908,1730.4838069693908,1907162.0428450622,-60891538.4901106,1907162.0428450622
01-04,911.0450109861355,121.47266813148472,2160.0,1659.024220083968,1659.0242200839684,458.06128192442833,42.91449799160342,508.95697991603157,0.0,0.0,0,1928760.1844358281,0.0,0.0,1928760.1844358281,-58993892.78181614,1928760.1844358281
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,1684.4119740985695,1684.4119740985698,435.21230331128714,80.37572259014367,483.56922590143023,0.0,0.0,0,1938940.5540381256,0.0,0.0,1938940.5540381256,-57093971.44684514,1938940.5540381256
01-06,918.4835532471899,122.46447376629199,2160.0,1659.024220083968,1659.0242200839684,458.06128192442833,42.91449799160342,508.95697991603157,0.0,0.0,0,1944508.214412783,0.0,0.0,1944508.214412783,-55196325.73855068,1944508.214412783
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,1616.904382575505,1616.9043825755048,483.0956174244948,0.0,551.0768174244947,0.0,0.0,0,1936673.694766364,0.0,0.0,1936673.694766364,-53313994.58865716,1936673.694766364
01-08,925.9828300606564,123.46437734142084,2040.0,1651.0751389633801,1574.784545067042,465.215454932958,0.0,516.90606103662,76.29059389633788,0.0,0,1889004.9733237391,9419.170672418559,9419.170672418559,1898424.1439961577,-51476326.6042314,1898424.1439961577
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,1677.5642685804714,1518.6247617224246,441.37523827757553,0.0,490.4169314195283,158.9395068580466,0.0,0,1822320.581514439,19703.315276406367,19703.315276406367,1842023.8967908456,-49700488.84625411,1842023.8967908456
01-10,933.5433373148054,124.47244497530738,1900.0,1697.43111579329,1476.5049242139612,423.4950757860387,0.0,470.55008420670964,220.9261915793285,0.0,0,1773732.3408981303,27499.223224962185,27499.223224962185,1801231.5641230925,-47971023.758113176,1801231.5641230925
01-11,937.3467084284262,124.97956112379015,1900.0,1697.43111579329,1476.5049242139612,423.4950757860387,0.0,470.55008420670964,220.9261915793285,0.0,0,1780958.7460140097,27611.25846433486,27611.25846433486,1808570.0044783445,-46241558.66997224,1808570.0044783445
01-12,941.1655749467589,125.48874332623451,1960.0000000000002,1677.5642685804714,1518.6247617224246,441.37523827757553,0.0,490.4169314195283,158.9395068580466,0.0,0,1844684.5268956476,19945.1189805077,19945.1189805077,1864629.6458761552,-44465720.91199495,1864629.6458761552
02-01,945.0000000000006,126.00000000000007,2000.0000000000005,1652.6869640509285,1545.9911030458372,454.0088969541632,0.0,504.45432994907145,106.69586100509153,0.0,0,1890000.0000000016,13443.67848664154,13443.67848664154,1903443.6784866431,-42660273.02684337,1903443.6784866431
02-02,948.8500469755483,126.51333959673977,2040.0,1639.442399242384,1574.0709947181456,465.9290052818545,0.0,517.6988947576162,65.3714045242383,0.0,0,1935654.0958301185,8270.35470049081,8270.35470049081,1943924.4505306093,-40823910.02846756,1943924.4505306093
02-03,952.7157795190471,127.02877060253962,2099.9999999999995,1619.575552029566,1616.1908322266083,483.80916777339127,0.0,537.5657419704337,3.384719802957586,0.0,0,2000703.1369899986,429.9567954037723,429.9567954037723,2001133.0937854024,-38941174.36025539,2001133.0937854024
02-04,956.5972615354427,127.54630153805904,2160.0,1658.3106697350715,1658.3106697350718,448.9475618384353,52.74176842649301,498.83062426492825,0.0,0.0,0,2015797.4536712368,0.0,0.0,2015797.4536712368,-37052337.30779809,2015797.4536712368
02-05,960.4945571900372,128.06594095867163,2200.0000000000005,1681.680198588266,1681.6801985882666,427.91498587056043,90.40481554117373,475.4610954117338,0.0,0.0,0,2026254.692547016,0.0,0.0,2026254.692547016,-35161405.53190656,2026254.692547016
02-06,964.40773090955,128.58769745460665,2160.0,1658.3106697350715,1658.3106697350718,448.9475618384353,52.74176842649301,498.83062426492825,0.0,0.0,0,2032256.129552277,0.0,0.0,2032256.129552277,-33272568.479449257,2032256.129552277
02-07,968.3368473831829,129.11157965109103,2099.9999999999995,1616.1908322266086,1616.1908322266083,483.80916777339127,0.0,540.9504617733912,0.0,0.0,0,2033507.3795046837,0.0,0.0,2033507.3795046837,-31390237.329555742,2033507.3795046837
02-08,972.2819715636898,129.63759620849194,2040.0,1639.442399242384,1574.0709947181456,465.9290052818545,0.0,517.6988947576162,65.3714045242383,0.0,0,1983455.221989927,8474.591743295188,8474.591743295188,1991929.8137332222,-29553874.331179928,1991929.8137332222
02-09,976.2431686684499,130.16575582245997,1960.0000000000002,1665.9315288594753,1517.9112113735282,442.088788626472,0.0,491.2097651405249,148.0203174859468,0.0,0,1913436.610590162,19267.176502638755,19267.176502638755,1932703.7870928007,-27779341.559252586,1932703.7870928007
02-10,980.2205041805463,130.6960672240728,1900.0,1685.7983760722939,1475.7913738650648,424.2086261349352,0.0,471.3429179277056,210.00700220722922,0.0,0,1862418.957943038,27447.089278002037,27447.089278002037,1889866.0472210401,-26051181.457161598,1889866.0472210401
02-11,984.214043849848,131.2285391799797,1900.0,1685.7983760722939,1475.7913738650648,424.2086261349352,0.0,471.3429179277056,210.00700220722922,0.0,0,1870006.6833147113,27558.91211722146,27558.91211722146,1897565.5954319327,-24323021.355070613,1897565.5954319327
02-12,988.2238536940974,131.76318049254627,1960.0000000000002,1665.9315288594753,1517.9112113735282,442.088788626472,0.0,491.2097651405249,148.0203174859468,0.0,0,1936918.7532404312,19503.62780946481,19503.62780946481,1956422.381049896,-22548488.58314327,1956422.381049896
03-01,992.2500000000013,132.3000000000001,2000.0000000000005,1641.1123880285384,1545.2811204486852,454.7188795513153,0.0,505.2431995014616,95.83126757985326,0.0,0,1984500.000000003,12678.476700814595,12678.476700814595,1997178.4767008177,-20744339.15911139,1997178.4767008177
03-02,996.2925493243264,132.83900657657676,2040.0,1627.8678232199925,1573.3610121209936,466.63898787900644,0.0,518.487764310007,54.506811098999194,0.0,0,2032436.8006216257,7240.630638048181,7240.630638048181,2039677.431259674,-18909274.621855278,2039677.431259674
03-03,1000.3515684950003,133.3802091326666,2099.9999999999995,1615.4808496294568,1615.4808496294563,484.51915037054334,0.0,530.8747379005431,0.0,0.0,0,2100738.2938395003,0.0,0.0,2100738.2938395003,-17026943.471961763,2100738.2938395003
03-04,1004.4271246122157,133.923616614962,2160.0,1657.6006871379197,1657.60068713792,439.8794103528721,62.51990250920819,488.7549003920802,0.0,0.0,0,2106765.903254026,0.0,0.0,2106765.903254026,-15146871.032062426,2106765.903254026
03-05,1008.5192850495399,134.4692380066052,2200.0000000000005,1678.9620819555146,1678.962081955514,420.65415501703677,100.38376302744906,467.39350557448535,0.0,0.0,0,2117503.4661899623,0.0,0.0,2117503.4661899623,-13264883.867454978,2117503.4661899623
03-06,1012.6281174550282,135.01708232733696,2160.0,1657.6006871379197,1657.60068713792,439.8794103528721,62.51990250920819,488.7549003920802,0.0,0.0,0,2123967.32252149,0.0,0.0,2123967.32252149,-11384811.42755564,2123967.32252149
03-07,1016.7536897523428,135.5671586336456,2099.9999999999995,1615.4808496294568,1615.4808496294568,477.78726411048876,6.731886260054612,530.8747379005431,0.0,0.0,0,2128338.0782860164,0.0,0.0,2128338.0782860164,-9508514.39156919,2128338.0782860164
03-08,1020.896070141875,136.11947601891654,2040.0,1627.8678232199925,1573.3610121209936,466.63898787900644,0.0,518.487764310007,54.506811098999194,0.0,0,2082627.9830894251,7419.438566257835,7419.438566257835,2090047.421655683,-7673449.854313075,2090047.421655683
03-09,1025.0553271018732,136.67404361358297,1960.0000000000002,1654.356952837084,1517.2012287763762,442.79877122362404,0.0,491.99863469291586,137.15572406070763,0.0,0,2009108.4411196718,18745.627412125705,18745.627412125705,2027854.0685317975,-5900215.543505432,2027854.0685317975
03-10,1029.2315293895745,137.23087058527645,1900.0,1674.2238000499024,1475.0813912679127,424.91860873208714,0.0,472.1317874800973,199.1424087819896,0.0,0,1955539.9058401915,27328.486127601434,27328.486127601434,1982868.391967793,-4173353.902534144,1982868.391967793
03-11,1033.4247460423412,137.78996613897868,1900.0,1674.2238000499024,1475.0813912679127,424.91860873208714,0.0,472.1317874800973,199.1424087819896,0.0,0,1963507.0174804484,27439.825762904995,27439.825762904995,1990946.8432433533,-2446492.2615628564,1990946.8432433533
03-12,1037.635046378803,138.35133951717359,1960.0000000000002,1654.356952837084,1517.2012287763762,442.79877122362404,0.0,491.99863469291586,137.15572406070763,0.0,0,2033764.6909024543,18975.678146246733,18975.678146246733,2052740.3690487011,-673257.9507552136,2052740.3690487011
04-01,1041.862500000002,138.9150000000001,2000.0000000000005,1629.595684886258,1544.5746877645188,455.4253122354816,0.0,506.0281247060914,85.02099712173924,0.0,0,2083725.0000000044,11810.691815166416,11810.691815166416,2095535.691815171,1129599.504462565,2095535.691815171
04-02,1046.1071767905432,139.4809569054056,2040.0,1616.3511200777132,1572.6545794368271,467.3454205631728,0.0,519.2726895146363,43.69654064088583,0.0,0,2134058.6406527082,6094.835302046701,6094.835302046701,2140153.4759547547,2963372.0729045793,2140153.4759547547
04-03,1050.3691469197508,140.04921958929995,2099.9999999999995,1614.7744169452908,1614.7744169452899,485.22558305470966,0.0,520.8493926470591,0.0,0.0,0,2205775.208531476,0.0,0.0,2205775.208531476,4845703.222798095,2205775.208531476
