Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,2095.1619156606685,1573.1324440946034,426.86755590539707,0.0,474.2972843393308,522.0294715660654,0.0,0,1800000.0000000005,62643.53658792784,62643.53658792784,1862643.5365879284,-76864914.31213371,1862643.5365879284
01-02,903.6667114052835,120.4888948540378,2040.0,2081.9173508521235,1601.2123357669118,438.78766423308826,0.0,487.5418491478761,480.70501508521164,0.0,0,1843480.0912667783,57919.61601841072,57919.61601841072,1901399.707285189,-74978913.51104319,1901399.707285189
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,2062.050503639306,1643.3321732753743,456.6678267246252,0.0,507.4086963606934,418.7183303639311,0.0,0,1905431.5590380928,50656.4521284554,50656.4521284554,1956088.0111665484,-73046540.04011631,1956088.0111665484
01-04,911.0450109861355,121.47266813148472,2160.0,2042.1836564264868,1685.452010783838,474.54798921616214,0.0,527.2755435735131,356.7316456426483,0.0,0,1967857.2237300526,43333.14480314782,43333.14480314782,2011190.3685332004,-71067793.89935307,2011190.3685332004
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,2028.9390916179402,1713.531902456147,486.4680975438535,0.0,540.5201083820596,315.407189161793,0.0,0,2012464.7864934106,38469.44615727117,38469.44615727117,2050934.2326506819,-69058132.6453656,2050934.2326506819
01-06,918.4835532471899,122.46447376629199,2160.0,2042.1836564264868,1685.452010783838,474.54798921616214,0.0,527.2755435735131,356.7316456426483,0.0,0,1983924.4750139301,43686.95325941027,43686.95325941027,2027611.4282733405,-67079386.504602365,2027611.4282733405
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,2062.050503639306,1643.3321732753743,456.6678267246252,0.0,507.4086963606934,418.7183303639311,0.0,0,1936673.694766364,51487.03339252811,51487.03339252811,1988160.7281588921,-65147013.03367549,1988160.7281588921
01-08,925.9828300606564,123.46437734142084,2040.0,2081.9173508521235,1601.2123357669118,438.78766423308826,0.0,487.5418491478761,480.70501508521164,0.0,0,1889004.9733237391,59349.945372393966,59349.945372393966,1948354.9186961332,-63261012.23258497,1948354.9186961332
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,2108.406480469215,1545.0525524222944,414.9474475777059,0.0,461.05271953078505,563.3539280469198,0.0,0,1822320.581514439,69837.51413312287,69837.51413312287,1892158.0956475618,-61436841.65794292,1892158.0956475618
01-10,933.5433373148054,124.47244497530738,1900.0,2128.2733276820345,1502.932714913831,397.06728508616897,0.0,441.1858723179652,625.3406127682028,0.0,0,1773732.3408981303,77837.67501361512,77837.67501361512,1851570.0159117454,-59659043.75313722,1851570.0159117454
01-11,937.3467084284262,124.97956112379015,1900.0,2128.2733276820345,1502.932714913831,397.06728508616897,0.0,441.1858723179652,625.3406127682028,0.0,0,1780958.7460140097,78154.795336652,78154.795336652,1859113.5413506618,-57881245.848331526,1859113.5413506618
01-12,941.1655749467589,125.48874332623451,1960.0000000000002,2108.406480469215,1545.0525524222944,414.9474475777059,0.0,461.05271953078505,563.3539280469198,0.0,0,1844684.5268956476,70694.5764785059,70694.5764785059,1915379.1033741536,-56057075.27368948,1915379.1033741536
02-01,945.0000000000006,126.00000000000007,2000.0000000000005,2081.3749648802295,1572.2867547922074,427.71324520779297,0.0,475.2369391197705,509.08821008802215,2.7013946635179308e-14,0,1890000.0000000016,64145.11447109083,64145.11447109083,1954145.1144710924,-54203536.23595647,1954145.1144710924
02-02,948.8500469755483,126.51333959673977,2040.0,2068.1304000716837,1600.3666464645157,439.63335353548416,0.0,488.48150392831633,467.76375360716787,0.0,0,1935654.0958301185,59178.354611149334,59178.354611149334,1994832.4504412678,-52319082.08499922,1994832.4504412678
02-03,952.7157795190471,127.02877060253962,2099.9999999999995,2048.263552858867,1642.4864839729785,457.51351602702107,0.0,508.34835114113304,405.77706888588784,2.7013946635179308e-14,0,2000703.1369899986,51545.362199276366,51545.362199276366,2052248.499189275,-50388255.26420561,2052248.499189275
