Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,1150.3825604577278,1150.3825604577278,48.64629558804499,800.9711439542275,54.05143954227223,0,0,0,1079125.9704411954,0,0,1079125.9704411954,-46625252.68316374,1079125.9704411954
01-02,903.6667114052835,120.4888948540378,2040.0,1152.528802840937,1152.5288028409366,46.714677443156745,840.7565197159065,51.905197159063036,0,0,0,1083716.4120025535,0,0,1083716.4120025535,-45550312.988284945,1083716.4120025535
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,1155.7481664157506,1155.7481664157508,43.81725022582428,900.4345833584249,48.68583358424921,0,0,0,1088423.7152378743,0,0,1088423.7152378743,-44475084.72634236,1088423.7152378743
01-04,911.0450109861355,121.47266813148472,2160.0,1158.9675299905646,1158.9675299905646,40.919823008491846,960.1126470009438,45.4664700094354,0,0,0,1093151.3866951505,0,0,1093151.3866951505,-43399567.89733598,1093151.3866951505
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,1161.1137723737738,1161.1137723737736,38.98820486360356,999.898022762623,43.32022762622617,0,0,0,1097801.3497233354,0,0,1097801.3497233354,-42323858.69028706,1097801.3497233354
01-06,918.4835532471899,122.46447376629199,2160.0,1158.9675299905646,1158.9675299905646,40.919823008491846,960.1126470009438,45.4664700094354,0,0,0,1102076.7994789386,0,0,1102076.7994789386,-41248341.86128068,1102076.7994789386
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,1155.7481664157506,1155.7481664157508,43.81725022582428,900.4345833584249,48.68583358424921,0,0,0,1106269.898838663,0,0,1106269.898838663,-40173113.59933809,1106269.898838663
01-08,925.9828300606564,123.46437734142084,2040.0,1152.528802840937,1152.5288028409366,46.714677443156745,840.7565197159065,51.905197159063036,0,0,0,1110478.8718052558,0,0,1110478.8718052558,-39098173.9044593,1110478.8718052558
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,1148.2363180745185,1148.2363180745185,50.57791373293329,761.1857681925485,56.19768192548143,0,0,0,1114604.0040995616,0,0,1114604.0040995616,-38023618.965665564,1114604.0040995616
01-10,933.5433373148054,124.47244497530738,1900.0,1145.0169544997048,1145.0169544997043,53.475340950265725,701.5077045500301,59.41704550029525,0,0,0,1118844.4972404467,0,0,1118844.4972404467,-36949352.59393563,1118844.4972404467
01-11,937.3467084284262,124.97956112379015,1900.0,1145.0169544997048,1145.0169544997043,53.475340950265725,701.5077045500301,59.41704550029525,0,0,0,1123402.8082168582,0,0,1123402.8082168582,-35875086.2222057,1123402.8082168582
01-12,941.1655749467589,125.48874332623451,1960.0000000000002,1148.2363180745185,1148.2363180745185,50.57791373293329,761.1857681925485,56.19768192548143,0,0,0,1128282.6857334173,0,0,1128282.6857334173,-34800531.283411965,1128282.6857334173
02-01,945.0000000000006,126.00000000000007,2000.0000000000005,1145.1672082512412,1145.1672082512414,47.920159573882714,806.9126321748764,53.244621748758576,0,0,0,1127467.562594743,0,0,1127467.562594743,-33731109.608649254,1127467.562594743
02-02,948.8500469755483,126.51333959673977,2040.0,1147.3134506344506,1147.3134506344504,45.988541428994445,846.6980079365551,51.09837936554939,0,0,0,1132264.651225415,0,0,1132264.651225415,-32661495.555844013,1132264.651225415
02-03,952.7157795190471,127.02877060253962,2099.9999999999995,1150.5328142092642,1150.5328142092644,43.091114211662,906.3760715790739,47.879015790735565,0,0,0,1137184.3514181303,0,0,1137184.3514181303,-31591592.935974974,1137184.3514181303
02-04,956.5972615354427,127.54630153805904,2160.0,1153.7521777840782,1153.752177784078,40.19368699432957,966.0541352215923,44.65965221592175,0,0,0,1142125.3446685905,0,0,1142125.3446685905,-30521401.749042142,1142125.3446685905
02-05,960.4945571900372,128.06594095867163,2200.0000000000005,1155.8984201672872,1155.8984201672877,38.26206884944127,1005.8395109832716,42.513409832712526,0,0,0,1146984.6501119612,0,0,1146984.6501119612,-29451018.18406678,1146984.6501119612
02-06,964.40773090955,128.58769745460665,2160.0,1153.7521777840782,1153.752177784078,40.19368699432957,966.0541352215923,44.65965221592175,0,0,0,1151450.6222797844,0,0,1151450.6222797844,-28380826.997133948,1151450.6222797844
02-07,968.3368473831829,129.11157965109103,2099.9999999999995,1150.5328142092642,1150.5328142092644,43.091114211662,906.3760715790739,47.879015790735565,0,0,0,1155830.03180825,0,0,1155830.03180825,-27310924.37726491,1155830.03180825
02-08,972.2819715636898,129.63759620849194,2040.0,1147.3134506344506,1147.3134506344504,45.988541428994445,846.6980079365551,51.09837936554939,0,0,0,1160226.0135143248,0,0,1160226.0135143248,-26241310.32445967,1160226.0135143248
02-09,976.2431686684499,130.16575582245997,1960.0000000000002,1143.0209658680321,1143.0209658680321,49.85177771877098,767.1272564131974,55.390864131967774,0,0,0,1164533.8670174081,0,0,1164533.8670174081,-25172081.027739488,1164533.8670174081
02-10,980.2205041805463,130.6960672240728,1900.0,1139.8016022932186,1139.801602293218,52.749204936103446,707.4491927706786,58.61022770678159,0,0,0,1168962.753523243,0,0,1168962.753523243,-24103140.2980831,1168962.753523243
02-11,984.214043849848,131.2285391799797,1900.0,1139.8016022932186,1139.801602293218,52.749204936103446,707.4491927706786,58.61022770678159,0,0,0,1173725.2524795712,0,0,1173725.2524795712,-23034199.568426713,1173725.2524795712
02-12,988.2238536940974,131.76318049254627,1960.0000000000002,1143.0209658680321,1143.0209658680321,49.85177771877098,767.1272564131974,55.390864131967774,0,0,0,1178825.2996340017,0,0,1178825.2996340017,-21964970.271706533,1178825.2996340017
03-01,992.2500000000013,132.3000000000001,2000.0000000000005,1139.9779328057875,1139.9779328057875,47.19765423979123,812.8244129544216,52.44183804421248,0,0,0,1177974.976245977,0,0,1177974.976245977,-20900847.610807,1177974.976245977
03-02,996.2925493243264,132.83900657657676,2040.0,1142.1241751889966,1142.1241751889966,45.26603609490297,852.6097887161003,50.29559566100329,0,0,0,1182988.0206427868,0,0,1182988.0206427868,-19836532.57186494,1182988.0206427868
