Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,1459.5400135563914,1459.5400135563916,204.00082779924747,336.4591586443614,226.6675864436084,0,0.0,0,1497186.7572200752,0,0,1497186.7572200752,-64028888.2167601,1497186.7572200752
01-02,903.6667114052835,120.4888948540378,2040.0,1480.2319566843535,1480.231956684353,185.37807898408178,374.3899643315649,205.97564331564644,0,0.0,0,1505156.3434161316,0,0,1505156.3434161316,-62535921.714991555,1505156.3434161316
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,1507.9064917531816,1507.9064917531812,160.4709974221365,431.6225108246822,178.3011082468184,0,0.0,0,1513799.5810778025,0,0,1513799.5810778025,-61040474.61134592,1513799.5810778025
01-04,911.0450109861355,121.47266813148472,2160.0,1527.8624836286044,1527.8624836286047,142.51060473425565,489.6269116371399,158.34511637139522,0,0.0,0,1521785.068638487,0,0,1521785.068638487,-59543238.75602723,1521785.068638487
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,1541.1664782122198,1541.16647821222,130.53700960900167,528.2965121787786,145.0411217877797,0,0.0,0,1529202.0012265563,0,0,1529202.0012265563,-58044810.399593174,1529202.0012265563
01-06,918.4835532471899,122.46447376629199,2160.0,1527.8624836286044,1527.8624836286047,142.51060473425565,489.6269116371399,158.34511637139522,0,0.0,0,1534210.2094480023,0,0,1534210.2094480023,-56547574.54427449,1534210.2094480023
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,1507.9064917531816,1507.9064917531812,160.4709974221365,431.6225108246822,178.3011082468184,0,0.0,0,1538620.37915533,0,0,1538620.37915533,-55052127.44062885,1538620.37915533
01-08,925.9828300606564,123.46437734142084,2040.0,1480.2319566843535,1480.231956684353,185.37807898408178,374.3899643315649,205.97564331564644,0,0.0,0,1542326.2946056882,0,0,1542326.2946056882,-53559160.938860305,1542326.2946056882
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,1438.8480704284293,1438.8480704284293,222.62357661441337,298.52835295715767,247.3595295715704,0,0.0,0,1544762.2336779926,0,0,1544762.2336779926,-52069903.874149054,1544762.2336779926
01-10,933.5433373148054,124.47244497530738,1900.0,1407.810155736486,1407.810155736486,250.55769983716218,241.632144426352,278.3974442635136,0,0.0,0,1548158.2623878205,0,0,1548158.2623878205,-50583428.887230776,1548158.2623878205
