scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
3,13.200::BAT-15,13.2,BAT-15,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,True
4,13.200::BAT-20,13.2,BAT-20,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
5,13.200::BAT-21,13.2,BAT-21,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
6,13.200::BAT-22,13.2,BAT-22,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
7,13.200::BAT-23,13.2,BAT-23,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
8,13.200::BAT-24,13.2,BAT-24,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
9,13.200::BAT-25,13.2,BAT-25,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
10,13.200::BAT-26,13.2,BAT-26,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
11,13.200::BAT-27,13.2,BAT-27,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
12,13.200::BAT-28,13.2,BAT-28,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
13,13.200::BAT-29,13.2,BAT-29,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
14,13.200::BAT-30,13.2,BAT-30,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
15,13.200::BAT-31,13.2,BAT-31,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
16,13.200::BAT-32,13.2,BAT-32,38583499.40673725,2.9166666666666665,54120000.0,0.8515706442601443,0.8515706442601442,3639.487802741265,0.0,1.357211346223795,False
2,13.200::BAT-10,13.2,BAT-10,38558603.79236904,2.9166666666666665,54120000.0,0.8506408010122328,0.8506408010122328,3662.287559180051,25.33306270976264,1.357211346223795,False
1,13.200::BAT-5,13.2,BAT-5,36033584.44480894,3.0,54120000.0,0.8195517584776171,0.8195517584776171,4424.59088212883,872.3367548750733,1.357211346223795,False
0,13.200::None,13.2,None,28192773.528865326,3.3333333333333335,54120000.0,0.7350235062229766,0.7350235062229766,6497.2236274126135,3175.2620274126098,1.357211346223795,False
20,13.800::BAT-15,13.8,BAT-15,40083633.36296866,2.9166666666666665,56580000.0,0.8879420668962059,0.8879420668962057,2747.660519705035,0.0,1.4189027710521496,True
21,13.800::BAT-20,13.8,BAT-20,40083633.36296866,2.9166666666666665,56580000.0,0.8879420668962059,0.8879420668962057,2747.660519705035,0.0,1.4189027710521496,False
22,13.800::BAT-21,13.8,BAT-21,40083633.36296866,2.9166666666666665,56580000.0,0.8879420668962059,0.8879420668962057,2747.660519705035,0.0,1.4189027710521496,False
